2018-10-04, 0
2018-10-05, 0
2018-10-06, 0
2018-10-07, 0
2018-10-08, 0
2018-10-09, 0
2018-10-10, 0
2018-10-11, 0
2018-10-12, 0
2018-10-13, 0
2018-10-14, 0
2018-10-15, 0
2018-10-16, 0
2018-10-17, 0
2018-10-18, 0
2018-10-19, 0
2018-10-20, 2198
2018-10-21, 2198
2018-10-22, 3730
2018-10-23, 3730
2018-10-24, 3730
2018-10-25, 3730
2018-10-26, 3730
2018-10-27, 3730
2018-10-28, 3730
2018-10-29, 4761
2018-10-30, 5788
2018-10-31, 7082
2018-11-01, 8226
2018-11-02, 9253
2018-11-03, 10250
2018-11-04, 10893
2018-11-05, 12276
2018-11-06, 12981
2018-11-07, 13049
2018-11-08, 17267
2018-11-09, 18123
2018-11-10, 19071
2018-11-11, 20476
2018-11-12, 21173
2018-11-13, 21968
2018-11-14, 23024
2018-11-15, 23392
2018-11-16, 24327
2018-11-17, 24136
2018-11-18, 25634
2018-11-19, 27039
2018-11-20, 27932
2018-11-21, 28792
2018-11-22, 29783
2018-11-23, 29783
2018-11-24, 31751
2018-11-25, 33708
2018-11-26, 36758
2018-11-27, 41755
2018-11-28, 44674
2018-11-29, 45500
2018-11-30, 45584
